Employee_ID,Name,Age,Gender,Department,Experience_Years,Education_Level,Salary_USD,Bonus_%,Job_Role,Joining_Date,City,State,Country,Performance_Rating,Remote_Work,Overtime_Hours_Monthly,Projects_Handled,Attrition
E0310,Deepak Patel,150.0,Female,Marketing,11.9,Master,8131.05,9.67,HR Executive,2016-01-10,London,England,UK,3.0,No,,3,Yes
E1041,Neha Patel,,Male,Admin,,High School,3775.67,12.46,HR Executive,2022-11-25,Mumbai,Maharashtra,India,,,3.0,4,No
E0382,Neha Das,-5.0,Male,Marketing,,PhD,4653.86,10.08,Data Analyst,2006-05-14,Sydney,NSW,Australia,3.0,Yes,25.0,11,Yes
E0498,Vivek Sharma,37.0,Male,Support,,Master,3871.5,10.92,Software Engineer,2009-06-28,New York,New York,USA,5.0,No,400.0,22,Yes
E0915,Deepak Singh,150.0,Male,Finance,,High School,6116.28,2.65,Software Engineer,2019-10-14,Mumbai,Maharashtra,India,4.0,Yes,,29,Yes
E0975,Sunil Verma,,Female,Finance,100.0,PhD,4871.62,10.46,Software Engineer,2005-06-08,Sydney,NSW,Australia,,,400.0,15,Yes
E0097,Vikas Nair,,Female,Finance,,Master,3754.6,8.96,HR Executive,InvalidDate,New York,New York,USA,3.0,No,,25,Yes
E0290,S. Verma,150.0,Female,IT,100.0,PhD,6317.09,20.05,Software Engineer,2006-06-02,London,England,UK,,Yes,25.0,7,No
E0645,D. Reddy,-5.0,Male,Admin,,Bachelor,,23.22,HR Executive,2023-02-28,Mumbai,Maharashtra,India,,,,19,No
E0102,Pooja Patel,21.0,,Sales,13.1,Master,4958.2,10.59,HR Executive,2016-07-15,New York,New York,USA,4.0,No,,22,Yes
E1004,Priya Khan,54.0,Male,Sales,-3.0,PhD,4812.73,16.63,HR Executive,2010-03-03,Mumbai,Maharashtra,India,5.0,No,36.0,24,No
E0071,Sunil Singh,,Mlae,Admin,-3.0,Bachelor,7271.13,14.77,Manager,2022-02-23,San Francisco,California,USA,1.0,No,5.0,9,No
E0669,Raj Gupta,150.0,Male,Admin,100.0,PhD,5426.59,10.01,Manager,2012-09-01,Delhi,Delhi,India,,No,18.0,3,Yes
E0482,Neha Sharma,37.0,Female,Support,,PhD,5799.38,6.74,Sales Associate,2015-02-06,Sydney,NSW,Australia,3.0,Yes,,6,No
E0440,Karan Singh,49.0,Female,Support,100.0,Master,3780.98,9.07,HR Executive,2010-06-26,Delhi,Delhi,India,5.0,,400.0,16,Yes
